timestamp_ms,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,rssi_MAC1,rssi_MAC2
65255,0.3813,0.0519,0.8811,-33.5083,-32.0435,-225.4639,-13,-44,-3,-86,-57
65696,0.1055,0.1111,0.8948,-25.7568,11.7187,-38.8184,-10,-19,1,-77,-68
66122,0.2235,0.11,0.9612,3.54,4.3335,5.0049,-7,-17,-3,-84,-66
66549,0.0841,0.0726,0.9847,0.4272,-12.5122,4.2114,-8,-15,0,-78,-59
66984,-0.0632,0.0729,1.1742,-10.2539,-20.6909,20.0806,-7,-11,-2,-77,-66
67420,0.1805,0.1324,0.8882,6.1035,15.8691,7.8735,-13,-14,0,-73,-66
67852,0.264,0.1885,1.056,-8.4229,-1.0986,-5.4321,-14,-15,3,-82,-65
68280,0.1544,0.0978,1.0308,-2.0752,-7.8125,-5.0659,-11,-17,-1,-79,-76
68708,0.1107,0.0519,0.9935,-4.1504,-31.4941,9.2773,-11,-10,1,-75,-70
69155,0.1865,0.0785,0.9006,2.3193,11.4746,9.1553,-13,-13,0,-77,-64
69585,0.4963,0.0022,1.1139,-17.7002,-30.6396,-159.0576,-10,-10,0,-88,-73
70023,0.2184,0.3605,1.2401,-15.564,-2.9907,-68.9087,17,-12,-1,   NA ,-69
70461,0.3187,0.1212,1.052,6.2866,-1.0986,13.4888,19,-11,-1,-84,-70
70909,0.1873,0.1038,0.9608,3.0518,0.8545,4.1504,18,-7,-4,-88,-60
71332,0.1777,0.1212,0.9659,0.061,2.9907,-2.2583,15,-10,3,-78,-60
71753,0.1132,0.0752,1.0063,0.1831,-8.0566,1.4648,14,-9,5,-77,-60
72184,0.2716,0.147,1.1958,4.2114,-18.3105,10.7422,18,-4,-3,-79,-67
72620,0.264,0.173,0.9977,7.6904,15.8081,-4.9438,18,-7,1,-75,-64
73071,0.1934,0.1479,0.9933,0.061,8.4839,-3.2349,18,-12,-4,-77,-56
73499,0.0405,0.1489,1.0697,1.6479,13.4277,-14.8315,17,-11,0,-75,-59
73929,0.0416,0.1472,1.203,14.6484,0.3052,18.4326,21,-9,-3,-79,-59
74383,0.3676,0.2197,0.9943,2.0142,12.2681,-4.5776,21,-8,0,-78,-60
74837,0.2401,0.1414,0.9186,-0.3662,15.8691,-6.4087,21,-12,0,-82,-72
75274,0.0846,0.0894,0.9333,0.8545,-7.2021,0.1831,23,-12,0,-76,-56
75708,0.0194,0.1798,1.3215,3.8452,-11.7187,15.5029,18,-5,-3,-83,-63
76143,0.3456,0.163,1.0916,-13.855,26.8555,3.0518,18,-7,2,   NA ,-61
76568,0.1045,0.2095,0.9594,0,20.5688,-7.3853,21,-8,1,-73,-57
77019,0.0967,0.1389,0.9497,-3.2959,-1.0376,-10.2539,21,-15,-1,   NA ,-62
77471,0.0933,0.1907,1.311,9.1553,-12.085,15.1978,20,-10,2,-85,-54
77904,0.1787,0.1652,1.0033,-2.6245,32.6538,7.8125,19,-7,0,-87,-64
78342,0.1914,0.1937,1.0066,-2.9907,9.7656,0.7935,18,-9,4,-76,-63
78779,0.203,0.1356,1.0232,-0.1221,-5.6152,-5.6152,20,-11,0,-80,-66
79231,0.0524,0.0946,0.9778,-2.9907,-0.2441,-0.6104,18,-11,1,-81,-64
79683,0.3927,0.3153,1.0983,-11.2305,-13.2446,7.9346,19,-4,0,-84,-62
80123,0.1965,0.2238,1.0427,-6.6528,0.1831,-4.3335,18,-11,3,-75,-69
80561,0.1865,0.137,0.932,1.77,0.7935,-4.9438,17,-16,8,-85,-69
80997,0.012,0.1198,0.9625,0.8545,-20.813,-5.3711,18,-14,5,-75,-70
81431,0.4971,0.2535,1.025,13.0005,-0.7935,-2.5635,16,-10,5,-74,-70
81861,0.1996,0.1266,0.8704,-8.667,1.4038,-18.9819,19,-18,5,   NA ,-66
82315,0.0842,0.3434,0.9069,6.6528,3.1738,65.7349,17,-23,1,-71,-70
82759,0.3965,0.2058,1.0509,27.9541,48.2788,124.7559,3,-10,11,-73,-67
83195,0.256,0.1753,0.6669,-16.2354,-22.2778,-6.7749,-6,-18,7,-72,-67
83628,0.1681,0.0918,0.9828,-8.606,-4.7607,-15.564,0,-14,8,-68,-70
84079,0.15,0.1196,0.9729,-5.188,4.6387,0.7935,0,-14,11,-70,-78
